,game_title,game_id,steam_appid,short_description,header_image,url
130,The Vanishing of Ethan Carter,3169,258520.0,The Vanishing of Ethan Carter is a first-person story-driven mystery. Purchase this game to get both the original and the Unreal Engine 4 remaster called The Vanishing of Ethan Carter Redux.,https://steamcdn-a.akamaihd.net/steam/apps/258520/header.jpg?t=1459438035,https://store.steampowered.com/app/258520/The_Vanishing_of_Ethan_Carter/
131,Goat Simulator,1346,265930.0,Goat Simulator is the latest in high-tech Goat Simulation technology.,https://steamcdn-a.akamaihd.net/steam/apps/265930/header.jpg?t=1515575054,https://store.steampowered.com/app/265930/Goat_Simulator/
132,Mass Effect,1865,17460.0,"As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy. Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!",https://steamcdn-a.akamaihd.net/steam/apps/17460/header.jpg?t=1447351599,https://store.steampowered.com/app/17460/Mass_Effect/
135,Banished,288,242920.0,"In this city-building strategy game, you control a group of exiled travelers who decide to restart their lives in a new land. They have only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.",https://steamcdn-a.akamaihd.net/steam/apps/242920/header.jpg?t=1447358097,https://store.steampowered.com/app/242920/Banished/
139,HOARD,1434,63000.0,"Dynamite Roll! adds in 9 New Maps, New Items, and 11 New Steam Achievements!",https://steamcdn-a.akamaihd.net/steam/apps/63000/header.jpg?t=1447353943,https://store.steampowered.com/app/63000/HOARD/
144,Floating Point,1224,302380.0,"Floating Point is a peaceful, free game about using a grappling hook to swing yourself gracefully through randomly generated spaces. The only objective is to collect points, and the only thing that increases your points is swinging swiftly, smoothly and elegantly without hitting anything.",https://steamcdn-a.akamaihd.net/steam/apps/302380/header.jpg?t=1447361957,https://store.steampowered.com/app/302380/Floating_Point/
145,Grow Home,1397,323320.0,"Experience the freedom of unbounded climbing as you take control of BUD, a procedurally animated robot on a quest to save his planet. Create your own path through an alien world as you control and ride a giant plant on a vertical journey to the stars.",https://steamcdn-a.akamaihd.net/steam/apps/323320/header.jpg?t=1447363659,https://store.steampowered.com/app/323320/Grow_Home/
146,LUFTRAUSERS,1716,233150.0,"The skies will be set aflame and the seas will overflow with wreckage in Vlambeer’s stylish arcade shooter LUFTRAUSERS! Select from over 125 combinations of weapons, bodies, and propulsion systems and take to the skies to battle enemy fighter planes, battleships, submarines, and rival aces for glory, honor, and high scores.",https://steamcdn-a.akamaihd.net/steam/apps/233150/header.jpg?t=1498680334,https://store.steampowered.com/app/233150/LUFTRAUSERS/
147,Arma 2,201,33900.0,"Building on 10 years of constant engine development, ARMA II boasts the most realistic combat environment in the world. It models real world ballistics &amp; round deflection, materials penetration, features a realtime day/night cycle and dynamic wind, weather and environmental effects.",https://steamcdn-a.akamaihd.net/steam/apps/33900/header.jpg?t=1521639563,https://store.steampowered.com/app/33900/Arma_2/
149,FEZ,1118,224760.0,"Gomez is a 2D creature living in a 2D world. Or is he? When the existence of a mysterious 3rd dimension is revealed to him, Gomez is sent out on a journey that will take him to the very end of time and space. Use your ability to navigate 3D structures from 4 distinct classic 2D perspectives.",https://steamcdn-a.akamaihd.net/steam/apps/224760/header.jpg?t=1472521163,https://store.steampowered.com/app/224760/FEZ/
153,Bleed,372,239800.0,Wryn is a girl with a big arsenal and big dreams -- she wants to be the ultimate videogame hero! Help her take down the Greatest Heroes of All Time in an action-packed bid to claim the title for herself and show the world what a true hero looks like!,https://steamcdn-a.akamaihd.net/steam/apps/239800/header.jpg?t=1478020279,https://store.steampowered.com/app/239800/Bleed/
154,Borderlands 2,414,49520.0,The Ultimate Vault Hunter’s Upgrade lets you get the most out of the Borderlands 2 experience.,https://steamcdn-a.akamaihd.net/steam/apps/49520/header.jpg?t=1554327871,https://store.steampowered.com/app/49520/Borderlands_2/
155,Race The Sun,2375,253030.0,You are a solar-powered craft. The sun is your death timer. Hurtle towards the sunset at breakneck speed in a futile race against time. Delay the inevitable by catching speed boosts which reverse the setting sun - if only for a moment.,https://steamcdn-a.akamaihd.net/steam/apps/253030/header.jpg?t=1554328073,https://store.steampowered.com/app/253030/Race_The_Sun/
156,Shadowgrounds,2642,2500.0,"Shadowgrounds breathes fresh air into the action genre with explosive combat sequences, an innovative weapon upgrade system, and an intriguing storyline. The adrenaline-pumping, top-down gameplay and audiovisual fireworks set the scene for this new action experience which also includes single computer (split keyboard or joystick) co-op...",https://steamcdn-a.akamaihd.net/steam/apps/2500/header.jpg?t=1547126921,https://store.steampowered.com/app/2500/Shadowgrounds/
157,They Bleed Pixels,3190,211260.0,They Bleed Pixels is a fiendishly difficult action platformer inspired by H.P. Lovecraft and classic horror.,https://steamcdn-a.akamaihd.net/steam/apps/211260/header.jpg?t=1533229481,https://store.steampowered.com/app/211260/They_Bleed_Pixels/
159,"Sir, You Are Being Hunted",2714,242880.0,"Sir, You Are Being Hunted is a freedom sandbox stealth experience, where each playthrough is unique, thanks to our British Countryside Generator. Escape from these robot-infested islands with violence, trickery and stealth. This brutally funny game is available for Windows, OSX, and Linux.",https://steamcdn-a.akamaihd.net/steam/apps/242880/header.jpg?t=1447358095,https://store.steampowered.com/app/242880/Sir_You_Are_Being_Hunted/
161,Symphony,2952,207750.0,A mysterious entity is absorbing and corrupting your music before your very eyes. You must battle through your own song collection and fight to reclaim your music!,https://steamcdn-a.akamaihd.net/steam/apps/207750/header.jpg?t=1530040730,https://store.steampowered.com/app/207750/Symphony/
